00:00:05.197 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|4371ms
00:00:05.199 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:00:05.200 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:00:11.900 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1089ms
00:00:11.900 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:00:11.900 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:00:12.024 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|1087ms
00:00:12.024 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"ssoExpires":191199,"collission":false,"userId":46387139,"lastTickle":1591372811868,"iserver":{"result":{"status":"ok"}}}
00:00:21.929 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1118ms
00:00:21.929 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:00:21.929 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:00:31.938 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1126ms
00:00:31.938 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:00:31.938 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:00:43.346 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|2409ms
00:00:43.347 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"ssoExpires":159871,"collission":false,"userId":46387139,"lastTickle":1591372843196,"iserver":{"result":{"status":"ok"}}}
00:00:44.654 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|3843ms
00:00:44.654 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:00:44.654 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:00:51.940 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1129ms
00:00:51.940 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:00:51.940 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:01:01.916 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1105ms
00:01:01.916 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:01:01.916 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:01:11.998 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|1060ms
00:01:11.999 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"ssoExpires":131220,"collission":false,"userId":46387139,"lastTickle":1591372871847,"iserver":{"result":{"status":"ok"}}}
00:01:14.828 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|4017ms
00:01:14.828 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:01:14.828 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:01:21.909 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1098ms
00:01:21.909 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:01:21.909 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:01:31.896 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1085ms
00:01:31.896 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:01:31.896 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:01:41.868 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1057ms
00:01:41.869 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:01:41.869 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:01:41.991 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|1054ms
00:01:41.991 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"ssoExpires":101222,"collission":false,"userId":46387139,"lastTickle":1591372901845,"iserver":{"result":{"status":"ok"}}}
00:01:51.896 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1085ms
00:01:51.896 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:01:51.897 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:02:01.856 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1045ms
00:02:01.856 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:02:01.856 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:02:11.858 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1047ms
00:02:11.858 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:02:11.858 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:02:13.325 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|2387ms
00:02:13.325 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"ssoExpires":69899,"collission":false,"userId":46387139,"lastTickle":1591372933168,"iserver":{"result":{"status":"ok"}}}
00:02:21.894 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1082ms
00:02:21.894 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:02:21.894 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:02:31.922 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1111ms
00:02:31.923 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:02:31.923 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:02:33.524 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|271ms
00:02:33.524 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "true"}
00:02:41.977 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1166ms
00:02:41.977 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:02:41.977 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:02:41.998 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|1060ms
00:02:41.998 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"ssoExpires":41206,"collission":false,"userId":46387139,"lastTickle":1591372961861,"iserver":{"result":{"status":"ok"}}}
00:02:52.915 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|2104ms
00:02:52.915 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:02:52.915 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:03:01.923 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1112ms
00:03:01.923 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
00:03:01.924 DEBUG vert.x-eventloop-thread-0 BaseServiceProxy     : Remapping Set-cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly] -> 
00:03:11.919 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/portal/sso/validate,200|1108ms
00:03:11.919 INFO  vert.x-eventloop-thread-0 CookieManager        : set cookies [api=ff23c0e1f961dcf70dcd231af88f3b04; Path=/; Secure; HTTPOnly, BIGipServerdam.interactivebrokers.com_80_burrito_pool=275008778.20480.0000; path=/; Httponly]
